TWEET,TWEET TIMESTAMP,ORIGINAL LOCALE,ANNOTATION,RAW EN TEXT,EMO VECTOR
676418845427372032,Mon Dec 14 15:09:54 +0000 2015,en,anger,RT @BigBadToyStore: 1/6 Scale  Berserk Figure - Guts ,[1  0  0  0  0  0  0  0],
676418785092366336,Mon Dec 14 15:09:40 +0000 2015,en,anger,1/6 Scale  Berserk Figure - Guts ,[1  0  0  0  0  0  0  0],
676473236658528256,Mon Dec 14 18:46:02 +0000 2015,en,anger,@MarekiaKiringu Louie didn't get Letterman!  furious!!,[1  0  0  0  0  0  1  0],
676469782015778816,Mon Dec 14 18:32:18 +0000 2015,en,anger,@curryspcworld told after waiting in all day that 2 of my 4 items wont arrive til Thurs! Oh n delivery guy broke my new fridge!  furious 😡,[1  0  0  0  0  0  0  0],
676463418279337984,Mon Dec 14 18:07:01 +0000 2015,en,anger,@sporting_pigeon  furious East Midlands from Sheffield.... ,[1  0  0  0  0  0  0  0],
676447466229731328,Mon Dec 14 17:03:38 +0000 2015,en,anger, Horses on the  Internet are  FURIOUS  AmericanPharoah didn't  win  SI  Sportsperson of the Year 😜 ,[1  0  0  0  0  0  0  0],
676437894354108417,Mon Dec 14 16:25:36 +0000 2015,en,anger,How  Furious 7' brought the late  PaulWalker back to life ,[1  0  0  0  0  0  0  0],
676434948753108993,Mon Dec 14 16:13:53 +0000 2015,en,anger,@Brandon_Warne Everyone knows that Sam has been surly during pressers.  How surly would he be if someone asked him about Joeger?   furious,[1  0  0  1  0  0  0  0],
676410168050085890,Mon Dec 14 14:35:25 +0000 2015,en,anger,"The  dialogue is great" and it's "  fast and  furious ?" Well... KissHerGoodbye ,[1  0  0  0  0  0  0  0],
676407219005595648,Mon Dec 14 14:23:42 +0000 2015,en,anger,So I walk into the room and see my drawn picture of @NICKIMINAJ with multiple stains on it😠😠😠  freakingout  pissedoff  furious 😠😡,[1  0  0  0  0  0  0  0],
676387034928275456,Mon Dec 14 13:03:30 +0000 2015,en,anger,when your parents raid your room while you're gone on vacation.  furious they had the fucking nerve to put me on blast on a group text,[1  0  0  1  0  0  0  0],
676369622048862210,Mon Dec 14 11:54:18 +0000 2015,en,anger,News Yaya Toure  Furious ‘His Goal’ Was Credited To Iheanacho: Ivorien international  Yaya… ,[1  0  0  0  0  0  0  0],
676361303485767681,Mon Dec 14 11:21:15 +0000 2015,en,anger,How the chuffin' hell did they know?  Arse  Furious ,[1  0  0  1  0  0  0  0],
676346027679588352,Mon Dec 14 10:20:33 +0000 2015,en,anger, Best  product  deal:  SunIfSnow The Fast &amp   Furious Inspired  Titaniu... by SunIfSnow ,[1  0  0  0  0  0  0  0],
676478987976237057,Mon Dec 14 19:08:53 +0000 2015,en,anger,When does  FURY comes on  Sky?!,[1  0  0  0  0  0  0  0],
676477672571076609,Mon Dec 14 19:03:40 +0000 2015,en,anger, Fury at secret US policy that BANNED visa officials from looking at terrorist wife's social media - where she... ,[1  0  0  0  0  0  0  0],
676473131511476225,Mon Dec 14 18:45:37 +0000 2015,en,anger, Fury at secret US policy that BANNED visa officials from looking at terrorist wife's social… ,[1  0  0  0  0  0  0  0],
676441191857184768,Mon Dec 14 16:38:42 +0000 2015,en,anger, DereckChisora confident he can beat  AnthonyJoshua. He was confident he could be  Haye and  Fury too. Not a chance!,[1  0  0  0  0  0  1  0],
676418467206144002,Mon Dec 14 15:08:24 +0000 2015,en,anger,Good fight Sat  now lets see if @anthonyfjoshua can get past @hughiefury 👊🏼👊🏼 Great fight. @peterfury @EddieHearn  Joshua  Fury  British,[1  0  0  0  0  0  1  0],
676411606465671169,Mon Dec 14 14:41:08 +0000 2015,en,anger,It's About Time You See  Mother  Nature's  Fury In Action - ,[1  0  0  0  0  0  0  0],
676370545454223360,Mon Dec 14 11:57:59 +0000 2015,en,anger,The  BBC adding insult to injury. Revealed!  Fury wasn't added by judges  but by BBC executives! ,[1  0  0  0  0  1  0  0],
676370107606687744,Mon Dec 14 11:56:14 +0000 2015,en,anger,@andywestTV should be promoted to executive not suspended! The @BBC can't  be allowed to get away with it.  Fury  ,[1  0  0  0  0  0  1  0],
676366974239285249,Mon Dec 14 11:43:47 +0000 2015,en,anger,How fuckin dare you work death ritual on our Mother Planet and the population? HOW FUCKIN DARE YOU!  Fury  FlamingSword  Antares,[1  0  0  0  0  0  0  0],
676344080855625728,Mon Dec 14 10:12:49 +0000 2015,en,anger,Based on Saturday nights showing  who would win in a fight between AJ and Fury?  boxing  Fury  Joshua,[2  0  0  0  0  1  0  0],
676332643483521025,Mon Dec 14 09:27:22 +0000 2015,en,anger,So many people saying  Joshua would beat  Fury LOOOOOOL,[1  0  0  0  0  0  1  0],
676477913328312320,Mon Dec 14 19:04:37 +0000 2015,en,anger,@realDonaldTrump stop spreading  hate and promoting  fearmongering. You are destroying  America  TrumpIsDisqualifiedParty,[1  0  0  0  0  0  0  0],
676477662240636932,Mon Dec 14 19:03:37 +0000 2015,en,anger, Hate  Exercising ? Here Are 5 Ideas to Turn Your Mindset Around ,[1  0  0  0  0  0  0  0],
676477661796020224,Mon Dec 14 19:03:37 +0000 2015,en,anger, Hate  Exercising ? Here Are 5 Ideas to Turn Your Mindset Around ,[1  0  0  0  0  0  0  0],
676477177001410560,Mon Dec 14 19:01:41 +0000 2015,en,anger,Any  religion that promotes  hate and  racism is of  Satan.  God is  love .,[1  0  0  1  0  0  0  0],
676476750797398016,Mon Dec 14 19:00:00 +0000 2015,en,anger,Yes this is how  racist MOST  WhitePeople are. Throwing  hate at  Serena vs. questioning  SI's policy. Blame them ,[1  0  0  1  0  0  0  0],
676476318121234432,Mon Dec 14 18:58:17 +0000 2015,en,anger,Amazon under fire for allowing sale of Nazi paraphernalia   BOYCOTTAmazon  Hate,[1  0  0  0  0  0  0  0],
676476040491966464,Mon Dec 14 18:57:11 +0000 2015,en,anger,The  cult of supremacy leads to  evil For it admits no  criticism   vanity  hate,[1  0  0  0  0  0  0  0],
676474429946245120,Mon Dec 14 18:50:47 +0000 2015,en,anger,@DavidZavac this is some solid  hate  silky johnson would be proud,[1  0  0  1  0  0  0  0],
676474292293341184,Mon Dec 14 18:50:14 +0000 2015,en,anger,@JamiaStarheart ACTUALLY I'm CONCERNED that judges swear on  BIBLE (Old or New Testament??) at all considering the  HATE  BIGOTRY inside!,[1  0  0  0  1  0  0  0],
676478341717860352,Mon Dec 14 19:06:19 +0000 2015,en,anger,@FoxNews backing  racism and fueling  hatred since birth.  boycottfox,[1  0  0  0  0  0  0  0],
676470628979904512,Mon Dec 14 18:35:40 +0000 2015,en,anger,It is documented that Hajjaj had a particularly strong  hatred towards Shias.,[1  0  0  0  0  0  0  0],
676466021549625345,Mon Dec 14 18:17:22 +0000 2015,en,anger,@brontyman @RepJeffDuncan You are making a joke when you think the stabbing was terrorism. It was  hatred  a  lie and you bought it.,[1  0  0  0  0  0  0  0],
676461808220250112,Mon Dec 14 18:00:37 +0000 2015,en,anger,French Teacher Admits Lying About  IS Stabbing  fake spreading  hatred  ,[1  0  0  0  0  0  0  0],
676459206275416067,Mon Dec 14 17:50:17 +0000 2015,en,anger,Advocacy of " homosexuality is a sin"  leading to persecution   hatred    hostility  discrimination ,[1  0  0  0  0  0  0  0],
676452509620133888,Mon Dec 14 17:23:40 +0000 2015,en,anger,A beautiful poem entitled  "TRY." Give it a read guys.  try  mondaymotivation  hatred  love ,[1  0  0  1  0  0  0  0],
676450945476255745,Mon Dec 14 17:17:27 +0000 2015,en,anger,@bbckennymac @RangersFC @celticfc another Kenny McIntyre bigot fest.  shameless  hatred  intolerance  offensive,[1  0  0  0  0  0  0  0],
676444418929479680,Mon Dec 14 16:51:31 +0000 2015,en,anger,Just realised why I don't feel christmassy. No advent calender this year  thanks for that mum. If that is your real name.  deceit  hatred,[1  0  0  0  0  0  0  0],
676404807259688961,Mon Dec 14 14:14:07 +0000 2015,en,anger,Going into 2016  we hope for a year without  terror  and time to  heal and understand what drives this  hatred ,[1  0  0  0  1  0  0  0],
676377217929187328,Mon Dec 14 12:24:29 +0000 2015,en,anger, Bitterness &amp   Hatred holds you  Captive. @LifeQuotesToday @LifeQuotes @Tweets2Motivate ,[1  0  0  0  0  0  0  0],
676366332040843264,Mon Dec 14 11:41:14 +0000 2015,en,anger,She could a pretty like money! Me nah make them draw me in a them nastiness  hatred 👍🏾,[1  0  0  1  0  0  0  0],
676477254533279744,Mon Dec 14 19:02:00 +0000 2015,en,anger, Retro  RAGE Play! - Ninja Gaiden – How long will I last?  SGamers @youtube  RetroGaming ,[1  0  0  0  0  0  0  0],
676476320063320064,Mon Dec 14 18:58:17 +0000 2015,en,anger,@tattooeddroopy fuck you  I won't do what you tell me!  rage,[1  0  0  1  0  0  0  0],
676475838062292992,Mon Dec 14 18:56:22 +0000 2015,en,anger, ANGER &amp   RAGE TODAY!!! ♫ ,[1  0  0  0  0  0  0  0],
676474290737426432,Mon Dec 14 18:50:13 +0000 2015,en,anger,RT @BrunoMars: Do you ever mix two brands of cereal because you feel like doing somthin fuckin crayzay? I do.   Rage,[1  0  0  0  0  0  0  0],
676473015631273984,Mon Dec 14 18:45:09 +0000 2015,en,anger,Time can give you all self justice. Patience Cos all Karma is settled in time. Always think 1st risk isn't worth a cage. But a shadow  Rage,[1  0  0  0  0  1  0  0],
676465981867339776,Mon Dec 14 18:17:12 +0000 2015,en,anger,That one time at  sanctuary  basscon  rage ,[1  0  0  0  0  0  0  0],
676463608981794818,Mon Dec 14 18:07:47 +0000 2015,en,anger,2nd part of my Let's Play  RAGE series.  OpenWorld  FirstPersonShooter ,[1  0  0  0  0  0  0  0],
676462213176143872,Mon Dec 14 18:02:14 +0000 2015,en,anger,After the  fear  she felt only  rage.  horror  waningnovella ,[0.5  0  1  0  1  0  0  0],
676461152847527936,Mon Dec 14 17:58:01 +0000 2015,en,anger,If this bitch tells me how to do my job (that I'm already doing) one more time I'm going to lose my cool. 😤😤😤😤😤  rage,[1  0  0  0  0  0  0  0],
676459497926336516,Mon Dec 14 17:51:26 +0000 2015,en,anger, np  NowPlaying  NowListening  Music  Guerrilla Radio by  Rage Against the Machine from the  album:  The Battle of… ,[1  0  0  0  0  0  0  0],
676454779091046400,Mon Dec 14 17:32:41 +0000 2015,en,anger,Halo 5 makes me wanna throw things  very far.  rage,[1  0  0  0  0  0  0  0],
676455250945900544,Mon Dec 14 17:34:34 +0000 2015,en,anger, SaintWest lmao ok that child is gonna be a demon  just because you named him that.  spite,[1  0  0  0  0  0  0  0],
676434849889128448,Mon Dec 14 16:13:30 +0000 2015,en,anger, Taylor  Swift  Hooked  Selena  Gomez Up With  Niall  Horan to  Spite  Justin  Bieber?! ,[1  0  0  0  0  0  0  0],
676302470662918144,Mon Dec 14 07:27:28 +0000 2015,en,anger,Day 1. Fresno  CA.  SPITE ,[1  0  0  0  0  0  0  0],
676176230283022337,Sun Dec 13 23:05:50 +0000 2015,en,anger,RT @SPITEca: First day of The Long Live The Snake Tour. See you tonight Fresno.  SPITE ,[1  0  0  0  0  0  0  0],
676175533290336256,Sun Dec 13 23:03:04 +0000 2015,en,anger,RT @SPITEca: First day of The Long Live The Snake Tour. See you tonight Fresno.  SPITE ,[1  0  0  0  0  0  0  0],
676137528915656705,Sun Dec 13 20:32:03 +0000 2015,en,anger,RT @SPITEca: First day of The Long Live The Snake Tour. See you tonight Fresno.  SPITE ,[1  0  0  0  0  0  0  0],
676137440776597504,Sun Dec 13 20:31:42 +0000 2015,en,anger,First day of The Long Live The Snake Tour. See you tonight Fresno.  SPITE ,[1  0  0  0  0  0  0  0],
675882792912195584,Sun Dec 13 03:39:49 +0000 2015,en,anger,Watch for free - My gym trainer gets sucked by a friend in spite of him !:  trainer  sucked  friend  spite  sex ,[2  0  0  0  0  0  1  0],
675867673188700161,Sun Dec 13 02:39:44 +0000 2015,en,anger,RT @SPITEca: Always cool seein this stuff.  SPITE  SPITECULT ,[1  0  0  0  0  0  0  0],
675796207847915520,Sat Dec 12 21:55:46 +0000 2015,en,anger,RT @SPITEca: Always cool seein this stuff.  SPITE  SPITECULT ,[1  0  0  0  0  0  0  0],
675796062121013248,Sat Dec 12 21:55:11 +0000 2015,en,anger,Always cool seein this stuff.  SPITE  SPITECULT ,[1  0  0  0  0  0  0  0],
675795941014671360,Sat Dec 12 21:54:42 +0000 2015,en,anger,RT @J_DCLXVI: @codyefuentes I'll catch you at Redwood City. Driving 11.5 hours to see you guys shred the gnar. Fucking pumped!  SPITE,[1  0  0  1  0  0  0  0],
675790004229046272,Sat Dec 12 21:31:07 +0000 2015,en,anger,@codyefuentes I'll catch you at Redwood City. Driving 11.5 hours to see you guys shred the gnar. Fucking pumped!  SPITE,[1  0  0  1  0  0  0  0],
675681371675688961,Sat Dec 12 14:19:27 +0000 2015,en,anger,...but that would be like  cutting off my  nose to  spite my  face &gt &gt &gt  because THEY literally  printMONEY!!!! :),[1  0  0  0  0  0  0  0],
676480932694609921,Mon Dec 14 19:16:37 +0000 2015,en,anger,Tomorrow’s Nov  CPI expected to be flat while core is up 0.2%  we also get Dec NY  Fed Empire &amp  NAHB housing reports,[0  0  0  0  0  0  1  0],
676071793623478274,Sun Dec 13 16:10:51 +0000 2015,en,anger,Despite working in  IT for over 30 years  poorly implemented  tech never ceases to  dissappoint  and  frustrate the f$ k  out of me.,[1  0  0  0  0  0  0  0],
674808072032919553,Thu Dec 10 04:29:16 +0000 2015,en,anger,@instagram I can't respond to comments or comment on pics. Apparently banned for a week!  frustrate IG is @chic_in_academia,[1  0  0  0  0  0  0  0],
674643989648179200,Wed Dec 09 17:37:16 +0000 2015,en,anger, Frustrate your  customers if you want them to  buy more. ,[1  0  0  0  0  0  0  0],
673715727870910464,Mon Dec 07 04:08:41 +0000 2015,en,anger,RT @bhagwat_tanay:  Blockathon by Amla and AbD should continue!! Fun to watch.  Frustrate the bowlers and more importantly Kohli  IndvsSA,[1  0  0  0  0  0  0  0],
673708077435121664,Mon Dec 07 03:38:17 +0000 2015,en,anger, Blockathon by Amla and AbD should continue!! Fun to watch.  Frustrate the bowlers and more importantly Kohli  IndvsSA,[1  0  0  0  0  0  0  0],
673571964695396352,Sun Dec 06 18:37:25 +0000 2015,en,anger, Frustrate your  customers if you want more referrals. ,[1  0  0  0  0  0  0  0],
676467604639236097,Mon Dec 14 18:23:39 +0000 2015,en,anger,Until someone HAS a weight issue  they will never understand and think it's just a matter of cutting back &amp  will power.  Frustration,[1  0  0  0  0  0  0  0],
676458443868348420,Mon Dec 14 17:47:15 +0000 2015,en,anger,When I Feel  Frustrated A children's story about recognizing  expressing and managing  frustration ( ,[1  0  0  0  0  0  0  0],
676451824426070017,Mon Dec 14 17:20:57 +0000 2015,en,anger,When you still have iOS 7.1.1 and you try to download or update any app.  Frustration,[1  0  0  1  0  0  0  0],
676446886870544388,Mon Dec 14 17:01:20 +0000 2015,en,anger,When I Feel  Frustrated A children's story about recognizing  expressing and managing  frustration ( ,[1  0  0  0  0  0  0  0],
676430245734572033,Mon Dec 14 15:55:12 +0000 2015,en,anger,And of course it's not going to show it's symptoms to the doctor  why in god's name would it?  frustration,[1  0  0  0  0  0  0  0],
676425203208085505,Mon Dec 14 15:35:10 +0000 2015,en,anger,Listen an apt can't stay clean  organised if one person is doing the consistent cleaning...  frustration,[1  0  0  0  0  0  0  0],
676423735323291648,Mon Dec 14 15:29:20 +0000 2015,en,anger,So  stoneham public schools has disconnected 3x when I call regarding  sped  bussafety ....coincidence or intentional?  frustration,[1  0  0  0  0  0  0  0],
676410247536242688,Mon Dec 14 14:35:44 +0000 2015,en,anger,RT @pieroland_net: Why writing vanilla  javascript loops with a sleep must be so awkward?  programming  frustration,[1  0  0  0  1  0  0  0],
676405161460396032,Mon Dec 14 14:15:32 +0000 2015,en,anger,Man..  Bills fanbase has to be the most frustrated of any sports fanbase .. Seeing more and more fan craziness end of each year  Frustration,[2  0  0  0  0  0  0  0],
676399895243304960,Mon Dec 14 13:54:36 +0000 2015,en,anger,I am a fury!  sketch  cat  frustration  anger ,[2  0  0  0  0  1  0  0],
676397083461615616,Mon Dec 14 13:43:26 +0000 2015,en,anger,Why writing vanilla  javascript loops with a sleep must be so awkward?  programming  frustration,[1  0  0  0  1  0  0  0],
676396193577050112,Mon Dec 14 13:39:54 +0000 2015,en,anger,Why writing vanilla  javascript loops with a sleep must be so awkward?  programming  frustration,[1  0  0  0  1  0  0  0],
676358594347028480,Mon Dec 14 11:10:29 +0000 2015,en,anger, motivation -  Time To  Expedite NOT  Procrastinate - A Day To Shrug Off Feeling  Irritable &amp  GET ON WITH IT! ,[1  0  0  0  0  0  1  0],
676266034651860992,Mon Dec 14 05:02:41 +0000 2015,en,anger,RT usgingerCA  Irritable bowel syndrome   pancreatitis   osteoarthritis  rheumatoid_arthritis N  heart  disease ~s… ,[1  0  0  0  0  0  0  0],
676224745868795904,Mon Dec 14 02:18:37 +0000 2015,en,anger,How new ideas to relieve  Irritable  Bowel  Syndrome ,[1  0  0  1  0  0  0  0],
676177678505017344,Sun Dec 13 23:11:35 +0000 2015,en,anger,So bloody uncomfortable tonight  notcomfy  irritable  tired  cantsleep,[1  0  0  0  0  1  0  0],
676089366285033473,Sun Dec 13 17:20:40 +0000 2015,en,anger,I get annoyed so easily .  irritable,[2  0  0  0  0  0  1  0],
675862276914733056,Sun Dec 13 02:18:18 +0000 2015,en,anger,How new ideas to relieve  Irritable  Bowel  Syndrome ,[1  0  0  1  0  0  0  0],
675835744137646080,Sun Dec 13 00:32:52 +0000 2015,en,anger,Info: When  physical or  mental  exhaustion leave u depleted n u may begin 2feel  jumpy   irritable or scattered: ,[1  0  0  0  0  0  0  0],
675785044837982209,Sat Dec 12 21:11:24 +0000 2015,en,anger,Other conditions that can present similarly to  Crohns  Disease include  irritable  bowel  syndrome ( IBS) and Behcet's disease.,[1  0  0  0  0  0  0  0],
